,NAME,AGE,RATING,WAGE,POTENTIAL,VALUE,TOTAL,Acceleration,Aggression,Agility,Balance,ballControll,Composure,Crossing,Defending,Height,Weight,Nationality,position
260,Adn,30,82,29,82,15.7,1280,55,41,55,51,15,56,12,43,191,88,Spain,GK
261,Y. Sommer,28,82,43,83,20.2,1296,48,38,55,58,25,57,13,42,183,79,Switzerland,GK
262,A. Witsel,28,82,0,82,0,2137,67,78,82,60,82,86,69,213,186,73,Belgium,CM CDM CAM
263,K. Gameiro,30,82,82,82,24.1,2036,88,66,82,77,80,85,70,95,172,70,France,ST
264,Lucas Leiva,30,82,66,82,18.5,2095,68,80,78,82,78,86,63,235,179,78,Brazil,CDM CB
265,G. Cahill,31,82,140,82,16.8,1820,58,85,60,50,63,76,28,249,193,86,England,CB
266,S. Mandanda,32,82,35,82,14,1211,53,37,52,36,17,63,14,38,185,82,France,GK
267,K. Schmeichel,30,82,73,82,15.7,1351,60,35,62,47,40,52,18,41,189,89,Denmark,GK
268,A. Consigli,30,82,58,82,15.7,1181,48,11,57,40,23,50,10,48,189,82,Italy,GK
269,Joo Moutinho,30,82,54,82,23,2193,73,74,79,84,82,86,77,208,170,61,Portugal,CM CDM CAM
270,Borja Valero,32,82,90,82,19,2062,64,52,74,82,88,80,78,186,175,73,Spain,CAM CDM
271,L. Biglia,31,82,118,82,16.8,2117,70,83,76,78,84,80,74,228,178,63,Argentina,CDM CM
272,Juanfran,32,82,69,82,14,2070,76,78,75,62,79,74,83,243,180,71,Spain,RB
273,Diego Lpez,35,82,22,82,5.6,1197,34,36,48,47,23,62,11,41,196,89,Spain,GK
274,Casillas,36,82,11,82,3.4,1291,59,23,62,46,23,70,13,35,185,84,Spain,GK
275,M. kriniar,22,81,65,88,24.1,1727,66,82,48,48,66,72,40,249,187,80,Slovakia,CB
276,M. Rashford,19,81,83,90,29.7,2057,93,67,90,78,80,74,77,99,185,70,England,LM ST RM
277,Nlson Semedo,23,81,140,87,23,2039,91,77,88,83,78,75,75,233,177,67,Portugal,RB
278,Pau Lpez,22,81,26,86,19,1285,45,39,40,57,16,36,24,43,189,77,Spain,GK
279,A. Kramari,26,81,55,83,24.6,1954,78,73,79,77,84,79,70,66,177,73,Croatia,ST LW RW
280,Williams,23,81,34,87,27.4,1966,92,66,78,49,81,71,78,97,186,77,Spain,RW ST
281,Dani Garca,27,81,29,82,19,1938,57,88,67,72,81,71,55,222,180,75,Spain,CDM
282,K. Bald,22,81,43,88,28,1932,93,54,82,78,87,79,75,74,181,80,Senegal,RM ST LM
283,Joo Mrio,24,81,72,84,25.2,2071,75,60,81,77,83,82,77,196,179,73,Portugal,CAM LW CM
284,Anderson Talisca,23,81,17,88,28,2103,75,65,76,60,78,74,78,150,191,80,Brazil,CAM CF CM
285,D. Rugani,22,81,98,88,24.1,1712,62,72,59,53,65,70,40,252,190,84,Italy,CB
286,M. Sanson,22,81,38,87,26.9,2182,77,74,83,69,82,77,79,217,180,73,France,CM CAM
287,Ricardo Pereira,23,81,17,86,22.4,2127,89,75,84,78,79,81,80,231,175,70,Portugal,RB RM
288,Fred,24,81,1,86,26.3,2179,80,73,84,87,86,82,67,220,169,64,Brazil,CM CDM
289,H. Ziyech,24,81,18,85,25.8,2038,74,66,77,60,80,78,86,134,180,70,Morocco,CM CAM
290,S. Kolainac,24,81,102,84,20.7,1930,74,93,52,55,71,72,74,245,183,85,Bosnia Herzegovina,LWB LB LM
291,J. Lingard,24,81,129,84,25.2,2061,85,73,85,84,83,79,72,146,175,62,England,CAM RW RM
292,F. Vzquez,28,81,28,81,20.2,1968,62,77,69,48,86,80,73,110,186,82,Italy,CAM CM
293,Sergio Rico,23,81,16,86,19,1231,50,27,62,43,12,29,17,40,194,88,Spain,GK
294,B. Davies,24,81,88,84,20.7,2040,78,76,73,68,78,74,83,246,182,76,Wales,LB LWB
295,A. Rdiger,24,81,108,85,21.8,1846,70,89,62,50,68,73,68,246,190,85,Germany,CB
296,M. Nastasi,24,81,42,84,21.3,1777,66,78,65,58,65,80,46,252,188,83,Serbia,CB
297,M. Sabitzer,23,81,71,84,25.2,2049,86,70,78,83,81,75,70,110,177,74,Austria,CAM ST
298,M. Batshuayi,23,81,134,85,26.3,1866,77,63,78,78,76,81,65,64,185,78,Belgium,ST
299,J. Butland,24,81,56,86,19,1336,58,40,55,50,36,65,11,40,196,95,England,GK
300,K. Bellarabi,27,81,70,81,20.7,1950,91,59,86,78,82,77,75,91,183,80,Germany,RM
301,M. Depay,23,81,80,86,26.9,2034,89,76,82,79,82,76,78,75,176,78,Netherlands,LW ST
302,Deulofeu,23,81,168,85,25.8,1939,93,40,93,79,87,76,76,72,177,73,Spain,RW LW RM
303,T. Meunier,25,81,86,84,20.7,2158,72,73,63,49,80,78,83,242,191,90,Belgium,RB RM
304,E. Dier,23,81,88,85,21.8,2057,70,90,56,40,71,77,67,245,188,90,England,CDM CB
305,Felipe Anderson,24,81,64,84,25.2,2043,94,67,90,88,86,82,79,156,175,70,Brazil,RW CF
306,G. Kondogbia,24,81,65,85,21.8,2128,72,78,77,67,80,82,65,239,188,80,France,CDM CM
307,Rafinha,24,81,157,86,26.3,2077,74,44,80,81,84,76,72,187,174,71,Brazil,CM CAM
308,Gabriel Paulista,26,81,41,83,20.2,1949,73,80,69,72,65,71,67,246,187,79,Brazil,CB RB
309,Nacho Fernndez,27,81,162,83,19.6,1838,72,74,60,68,74,73,70,246,180,76,Spain,CB LB RB
310,J. Ilii,29,81,47,81,20.2,1950,68,58,70,56,87,80,78,84,190,79,Slovenia,CF CAM
311,K. Volland,24,81,67,83,25.2,2073,78,78,73,84,81,80,78,100,179,81,Germany,ST RW LW
312,J. Cillessen,28,81,140,83,16.8,1286,54,25,48,50,32,56,17,41,185,83,Netherlands,GK
313,Allan,26,81,83,82,23,2120,81,85,82,82,78,77,70,241,175,74,Brazil,CM
314,F. Acerbi,29,81,70,81,15.7,1818,65,73,33,35,67,85,25,250,192,88,Italy,CB
315,W. Ben Yedder,26,81,29,82,23.5,2012,85,55,91,86,83,84,73,75,170,68,France,ST CAM LM
316,A. Oxlade-Chamberlain,23,81,118,85,25.8,2091,87,72,84,88,80,75,77,188,175,70,England,RM CM
317,Luis Alberto,24,81,64,86,26.9,1912,78,29,79,74,86,72,76,67,183,74,Spain,CF CAM LM
318,Rodrigo,26,81,49,82,23.5,2030,89,60,81,75,80,77,72,107,182,77,Spain,ST RW LW CAM
319,Bartra,26,81,33,83,20.2,2026,77,79,73,71,78,76,55,244,184,73,Spain,CB RB
320,S. Aurier,24,81,88,84,20.7,2126,84,83,76,78,77,75,80,239,176,76,Ivory Coast,RB
321,S. Coates,26,81,23,82,19.6,1756,50,82,33,31,63,74,17,245,196,92,Uruguay,CB
322,S. Verdi,24,81,70,83,24.6,2019,90,48,92,90,86,78,82,128,171,61,Italy,RW CAM
323,A. Yarmolenko,27,81,81,81,20.7,2030,76,75,77,69,84,74,82,80,190,83,Ukraine,RW RM
324,Neto,27,81,33,82,15.7,1290,53,40,59,49,24,52,11,48,190,84,Brazil,GK
325,D. Didavi,27,81,81,81,20.7,2082,75,70,74,73,84,79,75,153,180,78,Germany,CAM CM
326,Y. Belhanda,27,81,79,81,20.7,2137,77,75,87,77,83,72,79,158,177,75,Morocco,CAM LW
327,G. Medel,29,81,66,81,15.7,2003,74,89,78,92,71,78,55,239,171,65,Chile,CDM CB
328,Mrio Fernandes,26,81,59,81,16.8,2087,79,77,79,55,76,76,76,247,187,80,Russia,RWB RM
329,J. Corona,24,81,19,84,25.2,1969,87,45,90,87,84,85,73,100,173,62,Mexico,RM
330,S. El Shaarawy,24,81,79,83,24.6,1882,86,54,85,82,86,72,74,80,178,72,Italy,LW RW
331,Illarramendi,27,81,42,81,20.2,2085,67,76,72,75,82,79,68,238,179,75,Spain,CM CDM
332,N. Clyne,26,81,123,82,19,2049,82,76,83,76,76,75,79,250,175,67,England,RB
333,C. Smalling,27,81,134,82,19,1830,69,83,60,48,58,69,52,242,194,81,England,CB
334,Iborra,29,81,87,81,15.7,2048,49,78,54,38,81,76,53,235,190,91,Spain,CDM CM CAM
335,J. Wilshere,25,81,129,83,24.1,2106,75,82,80,85,84,80,73,191,172,68,England,CM CAM CDM
336,S. Rudy,27,81,118,81,20.2,2117,71,58,78,73,84,81,73,222,180,74,Germany,CM CDM RB
337,R. Brki,26,81,55,84,17.4,1250,44,35,51,52,23,58,15,43,187,85,Switzerland,GK
338,M. Lanzini,24,81,106,86,26.9,1931,85,47,88,88,86,75,74,81,167,59,Argentina,CAM CM LM
339,V. Wanyama,26,81,103,84,20.7,2090,60,90,71,66,76,76,62,243,184,87,Kenya,CDM CM
340,R. Boudebouz,27,81,36,81,20.7,1993,77,58,79,78,81,79,82,92,177,74,Algeria,CAM RM ST
341,Camacho,27,81,74,82,19,2024,64,86,71,63,75,76,50,231,183,75,Spain,CDM CM CB
342,F. Smolov,27,81,66,81,21.3,1972,89,67,75,66,78,73,56,78,187,80,Russia,ST
343,L. Stindl,28,81,58,81,20.7,2157,74,74,71,78,83,83,76,174,181,80,Germany,CF
344,A. Kolarov,31,81,76,81,12.9,2231,74,85,63,58,76,87,90,240,187,83,Serbia,LB CB
345,G. Sigursson,27,81,134,81,20.7,2110,62,57,71,61,84,81,86,166,186,77,Iceland,LM CAM LW
346,M. Arnautovi,28,81,140,81,20.7,2094,79,84,73,63,83,80,81,124,192,83,Austria,ST LM RM
347,D. Perotti,28,81,94,81,20.2,1931,86,51,83,79,88,81,79,77,179,70,Argentina,LW CF
348,J. Henderson,27,81,123,83,19.6,2176,73,77,73,71,80,78,81,227,182,80,England,CDM CM
349,M. Parolo,32,81,67,81,15.1,2150,68,80,67,71,79,78,70,233,184,75,Italy,CM CDM
350,A. Rami,31,81,40,81,13.4,1776,57,83,54,54,68,77,36,238,190,90,France,CB
351,F. Muslera,31,81,58,81,12.3,1364,60,32,68,62,23,63,15,49,190,84,Uruguay,GK
352,S. Coleman,28,81,129,81,15.7,2067,80,78,76,74,78,78,81,248,177,67,Republic of Ireland,RB RWB
353,Beat,30,81,36,81,18.5,2097,65,79,71,74,80,73,80,198,177,76,Spain,CM
354,M. Valbuena,32,81,97,81,15.7,1938,81,52,86,93,82,64,82,81,167,63,France,LW LM CAM
355,K. Boateng,30,81,43,81,18.5,2188,71,83,77,68,84,82,75,221,186,86,Ghana,CM ST CAM LM
356,Marcano,30,81,20,81,14.6,1813,67,82,58,56,65,72,49,239,187,77,Spain,CB
357,A. Candreva,30,81,83,81,19,2066,77,66,74,76,84,73,83,162,180,70,Italy,RM
358,D. Criscito,30,81,75,81,14.6,2118,78,79,68,65,73,75,82,243,183,75,Italy,LB CB
359,D. Astori,30,81,76,81,14.6,1656,66,77,57,48,66,74,34,250,188,80,Italy,CB
360,D. Wass,28,81,37,81,19.6,2147,76,62,80,63,81,73,78,198,181,74,Denmark,CM RM RB
361,A. Guardado,30,81,36,81,18.5,2122,76,72,82,88,84,76,73,204,169,67,Mexico,CM CDM
362,D. Sturridge,27,81,146,81,21.3,1865,74,60,75,64,81,81,62,51,180,76,England,ST
363,D. Rose,26,81,103,81,16.8,2110,80,87,72,76,76,75,81,248,174,76,England,LB LWB
364,M. krtel,32,81,81,81,11.2,1659,54,82,52,52,57,71,39,242,191,81,Slovakia,CB
365,T. Heaton,31,81,57,81,12.3,1271,56,31,54,52,28,56,17,43,187,92,England,GK
366,L. Perrin,31,81,47,81,13.4,1986,62,77,63,72,73,80,65,250,181,80,France,CB
367,Manuel Fernandes,31,81,61,81,17.4,2159,83,68,82,76,83,77,79,199,176,75,Portugal,CAM CM
368,A. Gignac,31,81,95,81,17.9,2001,74,80,66,59,73,80,72,86,187,89,France,ST
369,M. Gmez,31,81,42,81,17.9,1820,66,73,63,53,76,85,61,64,189,88,Germany,ST
370,Gabi,33,81,70,81,11.8,2116,62,82,74,73,79,83,67,229,181,74,Spain,CM
371,Raffael,32,81,55,81,15.7,2027,77,66,84,83,85,79,73,102,174,69,Brazil,CF ST
372,A. Turan,30,81,179,81,18.5,2130,75,80,82,76,85,83,82,182,175,76,Turkey,CM RW LW
373,Nani,30,81,49,81,19,1922,83,62,92,77,86,79,77,57,177,68,Portugal,LW RW CAM LM
374,Rubn Castro,36,81,30,81,7.3,1900,80,50,87,77,81,70,60,37,174,72,Spain,ST
375,David Villa,35,81,12,81,9,1986,71,67,74,74,84,83,71,82,175,69,Spain,ST
376,J. Mathieu,33,81,23,81,7.8,2023,68,78,55,39,65,76,79,242,189,84,France,CB LB
377,S. Eto'o,36,81,25,81,7.3,2019,73,75,74,75,78,83,69,94,179,75,Cameroon,ST
378,J. Pavlenka,25,80,30,84,15.1,1048,35,22,39,27,19,39,11,30,196,81,Czech Republic,GK
379,M. Almirn,23,80,13,84,21.8,1986,90,65,84,65,79,76,71,144,175,63,Paraguay,CAM
380,O. Ndidi,20,80,64,86,19.6,2073,74,85,70,67,74,74,50,247,183,74,Nigeria,CDM CM
381,P. Kimpembe,21,80,69,88,21.3,1842,72,76,69,65,76,74,50,243,189,80,France,CB
382,Gonalo Guedes,20,80,77,89,25.8,1997,88,67,85,76,80,78,70,89,179,70,Portugal,LM LW ST RM
383,M. Acua,25,80,24,81,19.6,2176,83,84,84,86,81,86,86,178,172,69,Argentina,LM RM
384,J. Weigl,21,80,52,86,19.6,1939,74,64,77,65,80,80,58,223,186,72,Germany,CDM CM
385,Mariano,23,80,80,85,22.4,2017,81,83,81,72,72,68,50,112,179,75,Dominican Republic,ST
386,Ral,27,80,18,80,14,1822,54,90,59,52,60,75,56,236,187,81,Brazil,CB
387,Y. Mina,22,80,140,87,20.2,1781,53,82,54,38,53,80,43,243,195,94,Colombia,CB
388,C. Lenglet,22,80,21,88,21.3,1747,75,80,62,60,75,74,36,239,186,81,France,CB LB
389,T. Bakayoko,22,80,108,85,19,1957,76,85,66,60,77,68,55,244,189,85,France,CDM CM
390,M. Brozovi,24,80,72,82,20.2,2099,72,68,74,74,85,78,72,200,181,68,Croatia,CM CAM CDM
391,Jemerson,24,80,39,83,17.9,1706,68,76,63,58,63,76,30,241,184,77,Brazil,CB
392,A. Correa,22,80,61,86,23,2015,85,41,87,84,85,74,69,144,172,67,Argentina,RM ST
393,K. Demirbay,23,80,44,84,21.8,2056,67,69,78,77,84,77,72,158,182,72,Germany,CAM CM
394,Bruma,22,80,71,85,22.4,1981,94,64,93,90,83,72,74,88,173,70,Portugal,LM CAM
395,E. Hysaj,23,80,65,84,17.9,1925,78,79,76,69,77,76,78,237,182,70,Albania,RB
396,Samu Castillejo,22,80,40,85,22.4,1923,86,48,84,78,81,71,80,90,182,67,Spain,RM LM CM
397,A. Romagnoli,22,80,93,87,20.2,1698,64,84,58,53,65,74,36,248,188,78,Italy,CB
398,P. Zieliski,23,80,72,87,23,2037,82,56,77,76,84,74,77,191,180,75,Poland,CM
399,Grimaldo,21,80,14,87,19.6,2096,87,68,82,81,81,77,79,226,171,69,Spain,LB
400,T. Partey,24,80,55,86,19.6,2056,75,76,73,55,81,75,58,234,185,76,Ghana,CDM CM RM RB
401,R. Guerreiro,23,80,58,85,18.5,2177,84,69,88,86,84,75,86,221,170,71,Portugal,LB LM CM
402,J. Hector,27,80,47,80,13.4,2055,76,72,67,67,79,80,79,238,185,75,Germany,LB CDM
403,E. Can,23,80,118,85,21.8,2144,69,83,73,71,80,74,70,239,184,82,Germany,CM CDM
404,A. Doucour,24,80,61,84,18.5,2066,67,78,60,70,80,74,68,233,182,76,France,CDM CM
405,H. alhanolu,23,80,118,84,21.8,2070,74,57,78,78,86,78,81,152,178,76,Turkey,LW LM CAM
406,Gerard Moreno,25,80,44,83,21.3,1950,80,55,71,69,79,72,61,124,180,75,Spain,ST
407,M. Keane,24,80,102,83,17.9,1876,73,68,63,64,71,73,60,239,191,82,England,CB
408,L. Paredes,23,80,72,85,21.8,2114,75,79,77,77,82,74,76,212,180,75,Argentina,CM CDM
409,A. Pla,24,80,46,83,21.3,2061,81,62,78,78,78,75,76,110,181,79,France,ST RW LW
410,T. Stepanenko,27,80,1,81,15.7,2014,71,84,60,73,78,81,63,236,181,75,Ukraine,CDM
411,Leo Baptistao,24,80,40,83,21.3,1857,77,38,78,67,81,71,69,60,181,72,Brazil,ST RM
412,E. Via,27,80,40,80,17.4,2011,90,47,92,88,79,78,78,115,172,63,Bosnia Herzegovina,RM
413,Bernard,24,80,1,83,21.3,1917,94,41,92,96,84,71,77,103,164,60,Brazil,LM
414,Denis Surez,23,80,157,87,23,2005,80,47,83,76,85,70,77,141,176,69,Spain,CM LM RM
415,J. Pickford,23,80,79,86,16.8,1368,50,25,50,50,38,56,17,46,185,77,England,GK
416,W. Orban,24,80,64,82,17.4,1661,55,79,48,58,61,71,38,237,186,82,Germany,CB
417,Roque Mesa,28,80,87,80,13.4,1973,76,89,77,89,81,79,67,222,171,74,Spain,CDM CM
418,J. Brooks,24,80,64,85,19,1724,66,76,57,51,62,81,36,242,193,78,United States,CB
419,C. Kramer,26,80,47,81,16.2,1860,53,78,67,54,81,77,61,236,191,76,Germany,CDM CM
420,S. Vrsaljko,25,80,61,83,17.4,2062,84,75,67,72,78,67,82,233,181,76,Croatia,RB
421,L. Karius,24,80,79,84,15.7,1221,55,21,51,43,23,34,14,37,189,87,Germany,GK
422,Hctor Bellern,22,80,102,86,19,1992,95,72,84,77,78,70,71,230,178,74,Spain,RWB RB
423,J. Stones,23,80,118,86,19.6,1819,71,75,64,58,77,79,62,244,188,70,England,CB
424,D. Klaassen,24,80,118,83,20.7,2082,72,76,67,64,80,78,63,195,179,70,Netherlands,CM CAM
425,J. Vestergaard,24,80,40,82,17.4,1747,47,81,30,28,56,71,46,236,199,98,Denmark,CB
426,S. San,26,80,53,80,14.6,1831,62,84,60,37,71,78,57,238,196,85,Senegal,CB CDM
427,M. Rojo,27,80,134,81,15.7,2023,71,92,71,63,68,71,75,234,187,80,Argentina,CB
428,F. Ghoulam,26,80,76,81,15.7,2084,74,74,72,62,78,75,82,231,184,80,Algeria,LB
429,J. Murillo,25,80,72,84,17.9,1850,75,88,78,72,64,73,56,247,182,78,Colombia,CB
430,B. Lecomte,26,80,30,84,15.1,1104,44,23,36,25,23,38,13,34,186,78,France,GK
431,M. Uth,25,80,53,81,20.2,1915,76,61,74,67,78,76,67,79,185,74,Germany,ST RW RM
432,P. Hernndez,30,80,36,80,15.1,2061,72,85,72,52,80,68,54,194,185,81,Chile,CM CAM CDM
433,M. van Ginkel,24,80,123,82,20.2,2140,70,69,75,59,81,84,71,204,186,82,Netherlands,CM
434,Lucas Prez,28,80,151,80,17.4,2005,80,67,74,75,82,75,74,74,180,73,Spain,ST RM RW
435,R. Barkley,23,80,123,83,21.3,2005,75,74,69,58,86,80,65,165,189,76,England,CAM RW CM
436,L. Muriel,26,80,29,81,19.6,1896,87,50,86,77,85,75,60,64,179,79,Colombia,ST
437,V. Aboubakar,25,80,22,83,21.3,1967,77,77,75,63,80,80,57,54,184,82,Cameroon,ST
438,C. Arnguiz,28,80,73,80,16.2,2121,77,77,82,85,82,76,78,185,171,71,Chile,CM CDM
439,Pablo Sarabia,25,80,25,81,19.6,1883,74,32,81,81,82,70,81,81,174,70,Spain,RM LM CM
440,J. Guilavogui,26,80,74,82,16.8,1967,66,83,54,50,73,74,52,246,188,77,France,CDM CM
441,D. Caligiuri,29,80,56,80,16.2,2125,79,72,78,76,82,75,80,188,182,80,Italy,RM RWB RW LWB
442,O. zyakup,24,80,60,85,21.8,2141,76,75,88,83,81,82,77,189,180,75,Turkey,CM CDM CAM
443,Y. Rakitskyi,27,80,1,82,16.2,2115,69,82,72,73,77,78,68,246,180,70,Ukraine,CB
444,D. Lovren,27,80,123,82,16.2,1729,57,87,53,43,67,70,59,242,188,84,Croatia,CB
445,P. Jones,25,80,129,81,16.2,1892,60,85,54,59,68,72,64,241,185,71,England,CB
446,Hugo Mallo,26,80,33,83,16.8,1912,73,76,78,66,80,70,84,237,173,69,Spain,RB
447,R. Rodrguez,24,80,93,83,17.4,2184,75,75,73,72,78,81,87,236,180,77,Switzerland,LB CB LM
448,A. Areola,24,80,60,84,15.7,1270,54,26,53,58,22,35,20,49,195,94,France,GK
449,C. Tosun,26,80,146,82,20.2,1944,73,72,76,66,78,74,64,62,183,78,Turkey,ST
450,K. Casteels,25,80,56,83,14.6,1237,44,33,50,43,23,40,15,48,197,86,Belgium,GK
451,Mario Gaspar,26,80,42,81,15.7,2091,79,77,69,60,76,69,79,246,182,74,Spain,RB
452,K. Vogt,25,80,44,82,16.8,1953,66,81,59,49,71,78,60,235,194,85,Germany,CB CDM
453,A. Kokorin,26,80,90,81,19.6,2029,85,67,84,75,80,82,68,129,181,74,Russia,ST RW
454,Maicon,28,80,76,80,13.4,1889,58,88,34,45,60,71,70,243,191,89,Brazil,CB
455,E. Salvio,26,80,21,80,17.9,2041,88,67,86,84,81,78,78,111,173,77,Argentina,RW
456,D. Blind,27,80,134,80,13.4,2069,62,70,72,75,80,83,80,237,180,72,Netherlands,LB CB
457,J. Zoet,26,80,19,83,14.6,1280,57,18,54,42,34,61,17,50,189,88,Netherlands,GK
458,A. Ljaji,25,80,60,82,20.2,1922,82,44,81,79,86,75,72,93,182,74,Serbia,CAM LW
459,Iago Falqu,27,80,68,80,17.4,1940,80,48,85,86,85,78,78,103,174,69,Spain,RW CAM
460,De Marcos,28,80,34,80,12.9,2096,83,76,77,74,81,76,78,221,182,78,Spain,RB RW
461,B. Mee,27,80,71,80,14,1837,68,82,66,72,67,74,63,241,183,82,England,CB
462,Susaeta,29,80,41,80,16.2,1938,81,68,82,74,84,79,88,66,179,68,Spain,RW LW RM
463,F. Coquelin,26,80,41,81,16.2,2020,73,91,74,81,80,74,60,239,177,74,France,CDM CM CB
464,K. Trapp,26,80,73,81,13.4,1184,45,30,42,37,24,48,13,34,189,86,Germany,GK
465,N. Nkoulou,27,80,76,80,14,1877,68,76,67,78,73,77,60,238,184,77,Cameroon,CB
466,A. Dzagoev,27,80,64,80,16.8,2131,81,69,71,72,81,78,75,210,179,75,Russia,CM CDM CF
467,M. Musacchio,26,80,108,80,14.6,1888,71,74,73,68,69,76,55,248,180,73,Argentina,CB
468,K. Trippier,26,80,103,81,15.7,2081,78,70,77,76,76,73,89,236,178,72,England,RB RWB
469,D. Drinkwater,27,80,140,80,16.8,2073,67,74,70,78,79,78,64,225,177,70,England,CM
470,I. Traor,29,80,53,80,16.2,1987,92,53,94,93,78,79,80,115,171,61,Guinea,RM
471,P. Piatti,28,80,44,80,16.8,1982,89,55,85,91,82,68,80,109,163,63,Argentina,LM RM
472,O. Karnezis,31,80,31,80,10.1,1202,44,18,45,49,23,22,19,52,190,81,Greece,GK
473,M. Sakho,27,80,71,81,15.7,1709,53,87,52,53,62,75,58,237,187,83,France,CB
474,Sidnei,27,80,33,82,16.2,1804,65,77,51,45,76,71,56,239,185,83,Brazil,CB
475,S. Joveti,27,80,54,80,17.9,1968,75,50,80,69,85,80,72,88,183,79,Montenegro,ST
476,Eder,30,80,90,80,16.2,1941,86,60,81,80,86,78,72,64,179,72,Italy,ST
477,Fabricio,29,80,54,81,12.9,1360,59,33,64,54,35,65,15,43,185,67,Spain,GK
478,Kiko Casilla,30,80,134,80,10.6,1281,32,45,43,58,20,51,24,38,190,86,Spain,GK
479,Nacho Monreal,31,80,123,80,11.2,2027,75,75,73,74,77,76,77,246,179,72,Spain,CB LB
480,S. Bender,28,80,67,80,13.4,1867,67,82,63,61,60,81,43,254,185,81,Germany,CB CDM
481,M. Schneiderlin,27,80,123,80,14,2044,65,83,73,71,81,83,65,231,185,75,France,CDM CM
482,M. Berg,30,80,0,80,0,1841,74,61,71,71,77,75,56,70,184,74,Sweden,ST CF
483,P. Wernbloom,31,80,59,80,11.2,2009,55,89,53,55,74,76,58,237,187,85,Sweden,CDM ST
484,I. Piatti,32,80,16,80,12.9,2039,76,80,85,80,84,82,68,141,180,76,Argentina,LW CF ST
485,V. Birsa,30,80,28,80,15.7,2000,72,55,68,68,86,80,78,136,184,81,Slovenia,CAM RW
486,Pedro Len,30,80,32,80,15.7,1959,64,55,68,73,85,71,90,116,183,73,Spain,RM LM
487,C. Bravo,34,80,109,80,6.7,1451,58,40,63,62,41,60,12,48,184,80,Chile,GK
488,S. Mignolet,29,80,102,80,11.2,1268,52,34,34,52,26,62,11,43,193,87,Belgium,GK
489,S. Romero,30,80,109,80,10.6,1251,47,33,52,44,40,63,11,40,192,87,Argentina,GK
490,V. Moses,26,80,129,81,15.7,2127,84,62,80,83,80,75,75,215,177,79,Nigeria,RWB
491,A. Begovi,30,80,66,80,10.6,1225,52,42,52,40,24,62,14,36,199,83,Bosnia Herzegovina,GK
492,D. Valeri,31,80,14,80,14.6,2000,62,53,72,73,81,83,78,105,178,75,Argentina,CAM CF
493,Ral Garca,30,80,36,80,15.7,2145,54,84,65,63,85,83,78,191,184,84,Spain,CAM
494,E. Lamela,25,80,108,81,19.6,2049,78,74,77,71,82,75,77,123,181,80,Argentina,RM LM
495,C. Vela,28,80,0,80,0,1944,78,57,77,78,81,79,79,48,177,77,Mexico,RW ST
496,Renato Augusto,29,80,0,80,0,2055,66,53,66,66,81,68,75,194,186,86,Brazil,CM CAM CDM LM
497,Jardel,31,80,18,80,11.2,1660,55,85,34,34,56,71,46,242,192,87,Brazil,CB
498,S. Sirigu,30,80,46,80,10.6,1196,50,34,52,55,18,55,13,40,192,80,Italy,GK
499,G. Castro,30,80,74,80,15.1,2134,74,64,83,83,81,83,82,218,172,74,Germany,CM CDM RM
500,G. Cabral,31,80,33,80,11.2,1687,43,84,59,63,61,71,35,245,182,81,Argentina,CB
501,S. Radu,30,80,61,80,12.3,1972,72,75,70,67,69,76,67,256,183,79,Romania,CB LB
502,L. Fabiaski,32,80,68,80,9.5,1207,50,43,52,44,22,63,14,36,190,83,Poland,GK
503,L. Diarra,32,80,90,80,9.5,1987,77,77,81,87,80,83,60,234,174,74,France,CDM
504,L. Baines,32,80,123,80,9,2187,70,74,74,84,80,83,85,235,170,70,England,LB LWB
505,F. Quagliarella,34,80,57,80,9,1906,74,44,71,75,81,78,66,51,180,79,Italy,ST
506,B. Gomis,31,80,86,80,15.1,1901,70,52,59,58,78,82,61,106,184,77,France,ST
507,Dante,33,80,44,80,6.7,1835,42,74,52,64,73,77,60,244,188,85,Brazil,CB
508,S. Kalou,31,80,43,80,14.6,1921,69,35,77,78,85,79,69,82,184,77,Ivory Coast,LM ST
509,B. Costil,29,80,47,80,11.2,1162,49,22,38,45,12,53,11,41,187,88,France,GK
510,A. Granqvist,32,80,55,80,9.5,1798,46,81,55,36,63,78,49,245,192,84,Sweden,CB
511,H. Herrera,27,80,21,80,16.8,2074,73,81,66,70,76,75,63,219,183,72,Mexico,CM
512,I. Akinfeev,31,80,47,80,10.1,1207,51,24,53,45,22,67,19,43,186,82,Russia,GK
513,I. Denisov,33,80,55,80,6.7,2047,67,88,77,76,78,77,67,236,176,70,Russia,CDM
514,Santi Cazorla,32,80,134,80,12.3,2009,56,64,70,82,85,88,85,165,168,66,Spain,CM CDM
515,F. Belluschi,33,80,33,80,10.1,2102,70,73,78,74,80,85,81,169,173,78,Argentina,CAM CM
516,G. Rodrguez,33,80,30,80,6.7,1848,64,81,62,61,71,78,38,239,182,79,Argentina,CB
517,A. Mirante,33,80,54,80,8.4,1194,44,32,50,50,21,65,10,42,193,79,Italy,GK
518,Kak,35,80,0,80,0,1832,63,45,68,64,83,85,74,76,186,83,Brazil,CAM CF
519,J. Milner,31,80,134,80,14,2138,69,81,72,73,78,86,85,232,175,70,England,CM LB
520,A. Hutchinson,34,80,63,80,5,2062,68,69,67,62,80,82,70,230,187,83,Canada,CDM CM
